CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Org_Type,Part,APV,PPV,RV
2022-23,N1,North East and Yorkshire,60080,Queen Elizabeth Hospital,Lab,C1,9.495548961424333,75.49103330486764,3.771594684385382
2022-23,N2,North West,62010,Manchester Cytology Centre,Lab,C1,8.584474885844749,83.23895809739524,4.098328416912488
2022-23,N3,Midlands,60370,Royal Derby Hospital,Lab,C1,18.168674698795183,85.39156626506023,2.9014830508474576
2022-23,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,C1,9.660468876313661,80.5921052631579,4.227709190672154
2022-23,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,C1,9.897476340694006,81.76178660049628,3.6725274725274724
2022-23,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,C1,8.663827521959009,67.38372093023256,5.101657458563536
2022-23,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,C1,10.06108515989939,80.94327597195667,3.898907103825137
2022-23,N7,South West,61590,Southmead Hospital,Lab,C1,16.666666666666664,91.46067415730337,3.0718475073313782
2021-22,N1,North East and Yorkshire,60080,Queen Elizabeth Hospital,Lab,C2,9.662003047513506,76.52531758811952,3.5308533145275036
2021-22,N2,North West,62010,Manchester Cytology Centre,Lab,C2,10.201371984952424,87.02425995993768,3.4101643680332514
2021-22,N3,Midlands,60370,Royal Derby Hospital,Lab,C2,16.895933014354068,87.62154076290201,2.6956521739130435
2021-22,N3,Midlands,61740,Royal Wolverhampton Hospitals,Lab,C2,10.709468572970056,85.15939904727006,3.9402560455192033
2021-22,N4,East of England,60540,Norfolk and Norwich University Hospital,Lab,C2,10.968131094802452,82.59132420091323,3.3754077791718946
2021-22,N5,London,61025,Health Service Laboratories Cervical Cytology Service,Lab,C2,10.110825315169414,69.51061065396276,4.240628904623073
2021-22,N6,South East,61290,Berkshire and Surrey Pathology Services,Lab,C2,9.610480963685923,80.66848786758798,4.020122120455176
2021-22,N7,South West,61590,Southmead Hospital,Lab,C2,18.28033651789534,89.73577235772358,2.9465223097112863
